kind	class	method	param	index	uri	field
METHOD	jadx.core.dex.nodes.MethodNode	unload()	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	sVars
METHOD	jadx.core.dex.nodes.MethodNode	unload()	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	exceptionHandlers
METHOD	jadx.core.dex.nodes.MethodNode	unload()	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	loops
METHOD	jadx.core.dex.nodes.MethodNode	updateTypes(java.util.List<jadx.core.dex.instructions.args.ArgType>,jadx.core.dex.instructions.args.ArgType)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	argTypes
METHOD	jadx.core.dex.nodes.MethodNode	updateTypes(java.util.List<jadx.core.dex.instructions.args.ArgType>,jadx.core.dex.instructions.args.ArgType)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	retType
METHOD	jadx.core.dex.nodes.MethodNode	updateTypeParameters(java.util.List<jadx.core.dex.instructions.args.ArgType>)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	typeParameters
METHOD	jadx.core.dex.nodes.MethodNode	initArguments(java.util.List<jadx.core.dex.instructions.args.ArgType>)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	argsList
METHOD	jadx.core.dex.nodes.MethodNode	initArguments(java.util.List<jadx.core.dex.instructions.args.ArgType>)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	argsList
METHOD	jadx.core.dex.nodes.MethodNode	updateArgTypes(java.util.List<jadx.core.dex.instructions.args.ArgType>,java.lang.String)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	argTypes
METHOD	jadx.core.dex.nodes.MethodNode	updateReturnType(jadx.core.dex.instructions.args.ArgType)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	retType
METHOD	jadx.core.dex.nodes.MethodNode	initBasicBlocks()	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	blocks
METHOD	jadx.core.dex.nodes.MethodNode	finishBasicBlocks()	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	blocks
METHOD	jadx.core.dex.nodes.MethodNode	finishBasicBlocks()	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	loops
METHOD	jadx.core.dex.nodes.MethodNode	setBasicBlocks(java.util.List<jadx.core.dex.nodes.BlockNode>)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	blocks
METHOD	jadx.core.dex.nodes.MethodNode	setEnterBlock(jadx.core.dex.nodes.BlockNode)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	enterBlock
METHOD	jadx.core.dex.nodes.MethodNode	setExitBlock(jadx.core.dex.nodes.BlockNode)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	exitBlock
METHOD	jadx.core.dex.nodes.MethodNode	registerLoop(jadx.core.dex.attributes.nodes.LoopInfo)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	loops
METHOD	jadx.core.dex.nodes.MethodNode	addExceptionHandler(jadx.core.dex.trycatch.ExceptionHandler)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	exceptionHandlers
METHOD	jadx.core.dex.nodes.MethodNode	makeNewSVar(int,int,@org.jetbrains.annotations.NotNull jadx.core.dex.instructions.args.RegisterArg)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	sVars
METHOD	jadx.core.dex.nodes.MethodNode	setAccessFlags(jadx.core.dex.info.AccessInfo)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	accFlags
METHOD	jadx.core.dex.nodes.MethodNode	setRegion(jadx.core.dex.regions.Region)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	region
METHOD	jadx.core.dex.nodes.MethodNode	setUseIn(java.util.List<jadx.core.dex.nodes.MethodNode>)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java	useIn
METHOD	jadx.core.dex.attributes.AttrNode	unloadIfEmpty()	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/attributes/AttrNode.java	storage
METHOD	jadx.core.dex.instructions.args.RegisterArg	setSVar(@org.jetbrains.annotations.NotNull jadx.core.dex.instructions.args.SSAVar)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/RegisterArg.java	sVar
METHOD	jadx.core.dex.instructions.args.Typed	setType(jadx.core.dex.instructions.args.ArgType)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/Typed.java	type
METHOD	jadx.core.dex.instructions.args.CodeVar	setName(java.lang.String)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/CodeVar.java	name
