kind	class	method	param	index	uri
METHOD	jadx.api.ICodeCache	get(java.lang.String)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/api/ICodeCache.java
PARAMETER	jadx.api.data.IJavaCodeRef	compareTo(@org.jetbrains.annotations.NotNull jadx.api.data.IJavaCodeRef)	o	0	/tmp/projects/jadx/jadx-core/src/main/java/jadx/api/data/IJavaCodeRef.java
METHOD	jadx.core.dex.nodes.MethodNode	getArgTypes()	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java
METHOD	jadx.core.dex.nodes.MethodNode	getReturnType()	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java
PARAMETER	jadx.core.dex.nodes.MethodNode	makeNewSVar(@org.jetbrains.annotations.NotNull jadx.core.dex.instructions.args.RegisterArg)	assignArg	0	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java
PARAMETER	jadx.core.dex.nodes.MethodNode	makeNewSVar(int,int,@org.jetbrains.annotations.NotNull jadx.core.dex.instructions.args.RegisterArg)	assignArg	2	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java
PARAMETER	jadx.core.dex.nodes.MethodNode	compareTo(@org.jetbrains.annotations.NotNull jadx.core.dex.nodes.MethodNode)	o	0	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/MethodNode.java
PARAMETER	jadx.core.dex.instructions.args.RegisterArg	setSVar(@org.jetbrains.annotations.NotNull jadx.core.dex.instructions.args.SSAVar)	sVar	0	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/RegisterArg.java
METHOD	jadx.core.dex.instructions.args.InsnArg	wrapInsnIntoArg(jadx.core.dex.nodes.InsnNode)	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/InsnArg.java
PARAMETER	jadx.core.dex.instructions.args.SSAVar	SSAVar(int,int,@org.jetbrains.annotations.NotNull jadx.core.dex.instructions.args.RegisterArg)	assign	2	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/SSAVar.java
METHOD	jadx.core.dex.instructions.args.SSAVar	getAssign()	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/SSAVar.java
PARAMETER	jadx.core.dex.instructions.args.SSAVar	setAssign(@org.jetbrains.annotations.NotNull jadx.core.dex.instructions.args.RegisterArg)	assign	0	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/SSAVar.java
METHOD	jadx.core.dex.instructions.args.SSAVar	getCodeVar()	null	null	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/SSAVar.java
PARAMETER	jadx.core.dex.instructions.args.SSAVar	setCodeVar(@org.jetbrains.annotations.NotNull jadx.core.dex.instructions.args.CodeVar)	codeVar	0	/tmp/projects/jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/SSAVar.java
