REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
jadx.api.JadxArgs	class	class	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	threadsCount	DEFAULT_THREADS_COUNT	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	DEFAULT_THREADS_COUNT	DEFAULT_THREADS_COUNT	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	deobfuscationMaxLength	MAX_VALUE	java.lang.Integer	SOURCE
jadx.api.JadxArgs	deobfuscationMaxLength	MAX_VALUE	java.lang.Integer	SOURCE
jadx.api.JadxArgs	class	class	jadx.api.JadxArgs$RenameEnum	SOURCE
jadx.api.JadxArgs	setRootDir(java.io.File)	DEFAULT_SRC_DIR	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setRootDir(java.io.File)	DEFAULT_RES_DIR	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	close()	inputFiles	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	close()	codeCache	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	close()	codeCache	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	close()	LOG	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	close()	codeCache	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getInputFiles()	inputFiles	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setInputFile(java.io.File)	inputFiles	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setInputFile(java.io.File)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setInputFiles(java.util.List<java.io.File>)	inputFiles	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setInputFiles(java.util.List<java.io.File>)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getOutDir()	outDir	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setOutDir(java.io.File)	outDir	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setOutDir(java.io.File)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getOutDirSrc()	outDirSrc	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setOutDirSrc(java.io.File)	outDirSrc	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setOutDirSrc(java.io.File)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getOutDirRes()	outDirRes	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setOutDirRes(java.io.File)	outDirRes	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setOutDirRes(java.io.File)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getThreadsCount()	threadsCount	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setThreadsCount(int)	threadsCount	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setThreadsCount(int)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isCfgOutput()	cfgOutput	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setCfgOutput(boolean)	cfgOutput	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setCfgOutput(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isRawCFGOutput()	rawCFGOutput	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setRawCFGOutput(boolean)	rawCFGOutput	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setRawCFGOutput(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isFallbackMode()	decompilationMode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setFallbackMode(boolean)	decompilationMode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setFallbackMode(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isShowInconsistentCode()	showInconsistentCode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setShowInconsistentCode(boolean)	showInconsistentCode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setShowInconsistentCode(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isUseImports()	useImports	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setUseImports(boolean)	useImports	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setUseImports(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isDebugInfo()	debugInfo	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDebugInfo(boolean)	debugInfo	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDebugInfo(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isInsertDebugLines()	insertDebugLines	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setInsertDebugLines(boolean)	insertDebugLines	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setInsertDebugLines(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isInlineAnonymousClasses()	inlineAnonymousClasses	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setInlineAnonymousClasses(boolean)	inlineAnonymousClasses	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setInlineAnonymousClasses(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isInlineMethods()	inlineMethods	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setInlineMethods(boolean)	inlineMethods	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setInlineMethods(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isExtractFinally()	extractFinally	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setExtractFinally(boolean)	extractFinally	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setExtractFinally(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isSkipResources()	skipResources	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setSkipResources(boolean)	skipResources	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setSkipResources(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isSkipSources()	skipSources	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setSkipSources(boolean)	skipSources	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setSkipSources(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setIncludeDependencies(boolean)	includeDependencies	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setIncludeDependencies(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isIncludeDependencies()	includeDependencies	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getClassFilter()	classFilter	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setClassFilter(java.util.function.Predicate<java.lang.String>)	classFilter	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setClassFilter(java.util.function.Predicate<java.lang.String>)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isDeobfuscationOn()	deobfuscationOn	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationOn(boolean)	deobfuscationOn	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationOn(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isDeobfuscationForceSave()	deobfuscationMapFileMode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationForceSave(boolean)	deobfuscationMapFileMode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationForceSave(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getDeobfuscationMapFileMode()	deobfuscationMapFileMode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationMapFileMode(jadx.api.args.DeobfuscationMapFileMode)	deobfuscationMapFileMode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationMapFileMode(jadx.api.args.DeobfuscationMapFileMode)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isUseSourceNameAsClassAlias()	useSourceNameAsClassAlias	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setUseSourceNameAsClassAlias(boolean)	useSourceNameAsClassAlias	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setUseSourceNameAsClassAlias(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isParseKotlinMetadata()	parseKotlinMetadata	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setParseKotlinMetadata(boolean)	parseKotlinMetadata	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setParseKotlinMetadata(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getDeobfuscationMinLength()	deobfuscationMinLength	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationMinLength(int)	deobfuscationMinLength	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationMinLength(int)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getDeobfuscationMaxLength()	deobfuscationMaxLength	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationMaxLength(int)	deobfuscationMaxLength	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationMaxLength(int)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getDeobfuscationMapFile()	deobfuscationMapFile	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationMapFile(java.io.File)	deobfuscationMapFile	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDeobfuscationMapFile(java.io.File)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getResourceNameSource()	resourceNameSource	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setResourceNameSource(jadx.api.args.ResourceNameSource)	resourceNameSource	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setResourceNameSource(jadx.api.args.ResourceNameSource)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isEscapeUnicode()	escapeUnicode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setEscapeUnicode(boolean)	escapeUnicode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setEscapeUnicode(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isReplaceConsts()	replaceConsts	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setReplaceConsts(boolean)	replaceConsts	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setReplaceConsts(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isRespectBytecodeAccModifiers()	respectBytecodeAccModifiers	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setRespectBytecodeAccModifiers(boolean)	respectBytecodeAccModifiers	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setRespectBytecodeAccModifiers(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isExportAsGradleProject()	exportAsGradleProject	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setExportAsGradleProject(boolean)	exportAsGradleProject	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setExportAsGradleProject(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isFsCaseSensitive()	fsCaseSensitive	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setFsCaseSensitive(boolean)	fsCaseSensitive	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setFsCaseSensitive(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isRenameCaseSensitive()	renameFlags	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isRenameValid()	renameFlags	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isRenamePrintable()	renameFlags	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	updateRenameFlag(boolean,jadx.api.JadxArgs.RenameEnum)	renameFlags	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	updateRenameFlag(boolean,jadx.api.JadxArgs.RenameEnum)	renameFlags	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setRenameFlags(java.util.Set<jadx.api.JadxArgs.RenameEnum>)	renameFlags	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setRenameFlags(java.util.Set<jadx.api.JadxArgs.RenameEnum>)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getRenameFlags()	renameFlags	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getOutputFormat()	outputFormat	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isJsonOutput()	outputFormat	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setOutputFormat(jadx.api.JadxArgs.OutputFormatEnum)	outputFormat	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setOutputFormat(jadx.api.JadxArgs.OutputFormatEnum)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getDecompilationMode()	decompilationMode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDecompilationMode(jadx.api.DecompilationMode)	decompilationMode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setDecompilationMode(jadx.api.DecompilationMode)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getCodeCache()	codeCache	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setCodeCache(jadx.api.ICodeCache)	codeCache	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setCodeCache(jadx.api.ICodeCache)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getCodeWriterProvider()	codeWriterProvider	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setCodeWriterProvider(java.util.function.Function<jadx.api.JadxArgs,jadx.api.ICodeWriter>)	codeWriterProvider	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setCodeWriterProvider(java.util.function.Function<jadx.api.JadxArgs,jadx.api.ICodeWriter>)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getCodeData()	codeData	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setCodeData(jadx.api.data.ICodeData)	codeData	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setCodeData(jadx.api.data.ICodeData)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getCommentsLevel()	commentsLevel	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setCommentsLevel(jadx.api.CommentsLevel)	commentsLevel	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setCommentsLevel(jadx.api.CommentsLevel)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isUseDxInput()	useDxInput	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setUseDxInput(boolean)	useDxInput	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setUseDxInput(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getUseKotlinMethodsForVarNames()	useKotlinMethodsForVarNames	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setUseKotlinMethodsForVarNames(jadx.api.JadxArgs.UseKotlinMethodsForVarNames)	useKotlinMethodsForVarNames	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setUseKotlinMethodsForVarNames(jadx.api.JadxArgs.UseKotlinMethodsForVarNames)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	isSkipFilesSave()	skipFilesSave	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setSkipFilesSave(boolean)	skipFilesSave	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setSkipFilesSave(boolean)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	getPluginOptions()	pluginOptions	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setPluginOptions(java.util.Map<java.lang.String,java.lang.String>)	pluginOptions	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	setPluginOptions(java.util.Map<java.lang.String,java.lang.String>)	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	decompilationMode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	useImports	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	showInconsistentCode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	inlineAnonymousClasses	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	inlineMethods	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	deobfuscationOn	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	deobfuscationMinLength	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	deobfuscationMaxLength	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	resourceNameSource	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	parseKotlinMetadata	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	useKotlinMethodsForVarNames	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	insertDebugLines	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	extractFinally	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	debugInfo	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	useSourceNameAsClassAlias	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	escapeUnicode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	replaceConsts	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	respectBytecodeAccModifiers	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	fsCaseSensitive	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	renameFlags	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	commentsLevel	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	useDxInput	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	pluginOptions	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	makeCodeArgsHash()	US_ASCII	java.nio.charset.StandardCharsets	SOURCE
jadx.api.JadxArgs	toString()	inputFiles	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	outDir	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	outDirSrc	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	outDirRes	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	threadsCount	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	decompilationMode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	showInconsistentCode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	useImports	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	skipResources	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	skipSources	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	includeDependencies	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	deobfuscationOn	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	deobfuscationMapFile	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	deobfuscationMapFileMode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	resourceNameSource	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	useSourceNameAsClassAlias	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	parseKotlinMetadata	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	useKotlinMethodsForVarNames	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	insertDebugLines	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	extractFinally	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	deobfuscationMinLength	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	deobfuscationMaxLength	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	escapeUnicode	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	replaceConsts	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	respectBytecodeAccModifiers	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	exportAsGradleProject	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	fsCaseSensitive	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	renameFlags	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	outputFormat	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	commentsLevel	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	codeCache	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	codeWriterProvider	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	this	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	useDxInput	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	pluginOptions	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	cfgOutput	jadx.api.JadxArgs	SOURCE
jadx.api.JadxArgs	toString()	rawCFGOutput	jadx.api.JadxArgs	SOURCE
jadx.api.args.DeobfuscationMapFileMode	shouldRead()	this	jadx.api.args.DeobfuscationMapFileMode	SOURCE
jadx.api.args.DeobfuscationMapFileMode	shouldRead()	this	jadx.api.args.DeobfuscationMapFileMode	SOURCE
jadx.api.args.DeobfuscationMapFileMode	shouldWrite()	this	jadx.api.args.DeobfuscationMapFileMode	SOURCE
jadx.api.args.DeobfuscationMapFileMode	shouldWrite()	this	jadx.api.args.DeobfuscationMapFileMode	SOURCE
jadx.api.CommentsLevel	filter(jadx.api.CommentsLevel)	this	jadx.api.CommentsLevel	SOURCE
jadx.api.metadata.annotations.VarNode	VarNode(jadx.core.dex.nodes.MethodNode,int,int,jadx.core.dex.instructions.args.ArgType,java.lang.String)	mth	jadx.api.metadata.annotations.VarNode	SOURCE
jadx.api.metadata.annotations.VarNode	VarNode(jadx.core.dex.nodes.MethodNode,int,int,jadx.core.dex.instructions.args.ArgType,java.lang.String)	this	jadx.api.metadata.annotations.VarNode	SOURCE
jadx.api.metadata.annotations.VarNode	VarNode(jadx.core.dex.nodes.MethodNode,int,int,jadx.core.dex.instructions.args.ArgType,java.lang.String)	reg	jadx.api.metadata.annotations.VarNode	SOURCE
