kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
METHOD	jadx.core.dex.nodes.RootNode	getClsp()	null	null	/home/nima/Desktop/docker/benchmarks/jadx/jadx-core/src/main/java/jadx/core/dex/nodes/RootNode.java	RETURN_NULLABLE	nullable	jadx.core.dex.nodes.RootNode	getClsp()
FIELD	jadx.core.xmlgen.entry.ResourceEntry	null	namedValues	null	/home/nima/Desktop/docker/benchmarks/jadx/jadx-core/src/main/java/jadx/core/xmlgen/entry/ResourceEntry.java	METHOD_NO_INIT	nullable	jadx.core.xmlgen.entry.ResourceEntry	null
FIELD	jadx.core.xmlgen.entry.ProtoValue	null	namedValues	null	/home/nima/Desktop/docker/benchmarks/jadx/jadx-core/src/main/java/jadx/core/xmlgen/entry/ProtoValue.java	METHOD_NO_INIT	nullable	jadx.core.xmlgen.entry.ProtoValue	null
FIELD	jadx.core.xmlgen.entry.ProtoValue	null	namedValues	null	/home/nima/Desktop/docker/benchmarks/jadx/jadx-core/src/main/java/jadx/core/xmlgen/entry/ProtoValue.java	METHOD_NO_INIT	nullable	jadx.core.xmlgen.entry.ProtoValue	null
FIELD	jadx.core.xmlgen.BinaryXMLParser	null	nsMap	null	/home/nima/Desktop/docker/benchmarks/jadx/jadx-core/src/main/java/jadx/core/xmlgen/BinaryXMLParser.java	METHOD_NO_INIT	nullable	jadx.core.xmlgen.BinaryXMLParser	null
FIELD	jadx.core.xmlgen.BinaryXMLParser	null	nsMapGenerated	null	/home/nima/Desktop/docker/benchmarks/jadx/jadx-core/src/main/java/jadx/core/xmlgen/BinaryXMLParser.java	METHOD_NO_INIT	nullable	jadx.core.xmlgen.BinaryXMLParser	null
FIELD	jadx.core.xmlgen.BinaryXMLParser	null	writer	null	/home/nima/Desktop/docker/benchmarks/jadx/jadx-core/src/main/java/jadx/core/xmlgen/BinaryXMLParser.java	METHOD_NO_INIT	nullable	jadx.core.xmlgen.BinaryXMLParser	null
FIELD	jadx.core.xmlgen.BinaryXMLParser	null	strings	null	/home/nima/Desktop/docker/benchmarks/jadx/jadx-core/src/main/java/jadx/core/xmlgen/BinaryXMLParser.java	METHOD_NO_INIT	nullable	jadx.core.xmlgen.BinaryXMLParser	null
FIELD	jadx.core.xmlgen.BinaryXMLParser	null	valuesParser	null	/home/nima/Desktop/docker/benchmarks/jadx/jadx-core/src/main/java/jadx/core/xmlgen/BinaryXMLParser.java	METHOD_NO_INIT	nullable	jadx.core.xmlgen.BinaryXMLParser	null
FIELD	jadx.core.xmlgen.BinaryXMLParser	null	resourceIds	null	/home/nima/Desktop/docker/benchmarks/jadx/jadx-core/src/main/java/jadx/core/xmlgen/BinaryXMLParser.java	METHOD_NO_INIT	nullable	jadx.core.xmlgen.BinaryXMLParser	null
